Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12
11,NaN,NaN,0.25,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.912376761566687,-0.9529835400847,-0.928619472973892,-1.03216675819482,-0.979377946121408,-0.942831845455197,-0.682948462939916,-0.743858630716935,-0.914407100492588,-0.479914570349853,-1.01998472463942,-0.441338130757741
12,NaN,NaN,0.5,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-0.489910085061979,-0.776656413366099,-0.787901367417241,-0.883483476851948,-0.872238522800806,0.252256882313389,-0.208786233783431,0.00486789318826654,-0.703564212033676,-0.270633481064711,0.60085045789879,0.550248164668651
13,NaN,NaN,0.5,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.668666078771512,-0.819891322907559,-0.799727957022752,-0.981198249986009,-0.900544786446784,-0.411583163740232,-0.396460639326627,-0.0940101510545334,-0.638421029944302,-0.34101138314341,-0.235153712248177,-0.0183975289865099
14,NaN,NaN,0.5,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.687821276362078,-0.797459578360712,-0.812078018627196,-0.987499301825011,-0.907097880359346,-0.709748936761804,-0.461235452231567,-0.263886508634026,-0.753604257561258,-0.563564534096959,-0.446617011965083,-0.168866646901877
15,NaN,NaN,0.5,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.721045004240452,-0.827360933451248,-0.839321475487463,-1.00278221664906,-0.905768931244211,-0.678518632556133,-0.558913212193987,-0.415386707759411,-0.691808123707482,-0.533663179006423,-0.508413145818858,0.113535040064302
16,NaN,NaN,0.5,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.615270498743229,-0.837254221308364,-0.853496932715569,-0.950953201158799,-0.880568118394244,-0.712726767186459,-0.344558641956478,-0.409529487585298,-0.663998632964844,-0.360801353363683,-0.485328807485588,0.148136937395409
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.777082358595309,-0.841314899160165,-0.859034220695298,-0.977532183461499,-0.943200997987179,-0.71617219081829,-0.409406436741304,-0.135864410542692,-0.672981344576404,-0.382827454438605,-0.468101689326431,-0.0971033946845889
18,NaN,NaN,0.5,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.757357640872923,-0.852179956114985,-0.887738324330758,-0.958855060762305,-0.962805990564057,-0.702044623648387,-0.433381397129212,-0.445234186534469,-0.694142764044882,-0.421528607723954,-0.516350922966016,-0.0224846977469435
19,NaN,NaN,0.5,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.525998542249365,-0.796269705315765,-0.811568073036505,-0.996848304321018,-0.908457735267856,-0.718078048076429,-0.294823207802633,-0.345817766871765,-0.716378229440792,-0.315221031430286,-0.689181131270588,0.323910775569503
20,NaN,NaN,0.5,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.685513101583159,-0.816309672388547,-0.804768798493954,-1.01250452859663,-0.897095789650698,-0.708594849372345,-0.266194683412945,-0.285429473237266,-0.639349606004787,-0.216184229869708,-0.585492194496686,0.0607967436005253
21,NaN,NaN,0.5,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.712978592169516,-0.838765171206709,-0.842164808477984,-1.00874703477048,-0.950953201158799,-0.692580768541863,-0.288023933260082,-0.332219217786663,-0.66538367037166,-0.257427197818603,-0.757173876696097,-0.09424460879738
22,NaN,NaN,0.5,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.72761591930973,-0.808829476345755,-0.76010134212414,-0.967195912566004,-0.861618288419172,-0.788526087086749,-0.268759322056188,-0.390579657610225,-0.731676597161531,0.137308463123938,-0.942831845455197,0.214461342308162
23,NaN,NaN,0.75,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-0.186296325681146,-0.616415818137326,-0.633283249214039,-0.776656413366099,-0.759788982289386,0.926954125381906,0.235389451236677,0.555870641694222,-0.506777516138692,0.142618580314756,1.44984448876001,1.3739410489148
24,NaN,NaN,0.75,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.454430316245445,-0.681268182449516,-0.651023133622306,-0.923228573067191,-0.802248377758353,-0.0688059436985257,-0.0461221570781184,0.407553575330022,-0.409062743004631,0.0370517271967073,0.195838233539557,0.520972508432057
25,NaN,NaN,0.75,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.483163112631294,-0.647620565629245,-0.669548226028972,-0.932680150825694,-0.812078018627196,-0.516054603230884,-0.143284376435529,0.152739038960783,-0.581837584430065,-0.296777999233616,-0.121356716035802,0.295268831559007
26,NaN,NaN,0.75,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.532998704448855,-0.69247259826505,-0.710413411319372,-0.955604523061772,-0.810084594954494,-0.469209146922377,-0.289801016379158,-0.0745112597272945,-0.489143383649401,-0.251925966597812,-0.214050916816465,0.718871362008275
27,NaN,NaN,0.75,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.37433694620302,-0.707312530050724,-0.731676597161531,-0.877860999826377,-0.772283375679544,-0.520521348867866,0.0317308389771055,-0.0657254294661246,-0.447429147535443,0.00736677186629807,-0.17942440931656,0.770774208004935
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,-0.617054735981141,-0.713403546828426,-0.739982529131125,-0.917729473280425,-0.866232695068946,-0.525689484315613,-0.0655408532001336,0.344772186097785,-0.460903214952784,-0.0256723797460848,-0.153583732077825,0.402913709884939
29,NaN,NaN,0.75,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.587467659397562,-0.729701132260655,-0.783038684584315,-0.889713789231634,-0.895640183934263,-0.504498133560758,-0.101503293781995,-0.119282477889882,-0.4926453441555,-0.0837241096741084,-0.225957582537201,0.514841755291407
30,NaN,NaN,0.75,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.240429011462225,-0.645835756061826,-0.668783307642935,-0.946703654569705,-0.814117800989961,-0.528548270202822,0.106333990207873,0.0298421516041749,-0.525998542249365,0.0757372547663937,-0.485202894994059,1.03443496526608
31,NaN,NaN,0.75,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.479700850462916,-0.675895706670998,-0.658584395829109,-0.970187990983121,-0.797074882564225,-0.514323472146695,0.149276776792405,0.120424592055922,-0.410455607095358,0.22429245710726,-0.329669489833206,0.63976391731261
32,NaN,NaN,0.75,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.520899086342452,-0.709578954898241,-0.714678410805154,-0.964551750243901,-0.877860999826377,-0.490302350900973,0.116532902021699,0.0502399752318278,-0.449506703645667,0.162428005183918,-0.587192013132324,0.407201888715752
33,NaN,NaN,0.75,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.542855077052773,-0.66467541260681,-0.591583211274388,-0.902225066937184,-0.743858630716935,-0.634220328718301,0.145429818827541,-0.0373006845035158,-0.548946093830475,0.75453149659773,-0.865678966270973,0.870260815374066
