Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14
11,NaN,NaN,0.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.688370334587057,-0.555965071274288,-0.751827234976586,-0.664573996940983,-0.695692284632002,-0.544982146206869,-0.695692284632002,0.492904272664188,-0.576710596401634,-0.690200822098293,-0.47603378328363,-0.470542320749921,-0.590134171484035,-0.584642708950325
12,NaN,NaN,0.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.723886876992574,-0.458847539428133,-0.75503058812125,-0.507787656916051,-0.601218790302077,-0.479821875494383,-0.591049415239653,0.283516840128865,-0.470923672314762,-0.507787656916051,-0.31329835884718,-0.315840702612786,-0.36668757792491,-0.551643086872757
13,NaN,NaN,0.5,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.68825349495868,-0.452626911065479,-0.759655490077831,-0.566220994209584,-0.589588919884943,-0.438995621088187,-0.660341805957557,0.523633094927284,-0.514292270486565,-0.552589704232292,-0.196228837683071,-0.312419357013327,-0.446135820600102,-0.508450289067725
14,NaN,NaN,0.5,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.662235040676625,-0.417534453237033,-0.754395002179848,-0.547829571224348,-0.620286368544124,-0.433424101772071,-0.59804086059507,0.641987311079333,-0.493169180263816,-0.561176875993781,-0.218596053578351,-0.377492538928736,-0.42071238294404,-0.493804766205217
15,NaN,NaN,0.5,NaN,NaN,-2.5,-0.043619387365336,0.999048221581858,NaN,1,NaN,-0.660341805957557,-0.491573453857744,-0.754462617705529,-0.526625342370782,-0.626588135537594,-0.383821352132479,-0.643464970747575,0.694348774166711,-0.485731472438904,-0.531818214743084,-0.180001111519628,-0.392259769737469,-0.531169105696546,-0.516239597626178
16,NaN,NaN,0.5,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.658128177670646,-0.371821156682384,-0.749652553232468,-0.581466734892368,-0.631531350584305,-0.427361589715626,-0.628402312103559,0.753068177145817,-0.483684282369054,-0.56973284058957,-0.217716011505641,-0.315498464028955,-0.47116812844607,-0.509498849835209
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.635780923115588,-0.459328523383788,-0.753690704244782,-0.500555719582807,-0.608570973624236,-0.498906631734846,-0.57311558489308,0.785732801826578,-0.437890381360298,-0.536835652237943,-0.192176292014147,-0.390891377693417,-0.478293033635337,-0.503029351354748
18,NaN,NaN,0.5,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.634904845196359,-0.571981836997607,-0.757890724857557,-0.565308184612891,-0.551007500931356,-0.489991250556808,-0.599629825448574,0.74844795626409,-0.406093906291805,-0.582469005030732,-0.164889041529921,-0.330776972235723,-0.452809472984818,-0.448042578424307
19,NaN,NaN,0.5,NaN,NaN,2.5,0.043619387365336,0.999048221581858,NaN,1,NaN,-0.639025902429317,-0.389056102507783,-0.758106003966741,-0.551438059149725,-0.642962434711546,-0.380198904872768,-0.614422575665387,0.748601727056365,-0.459913683587903,-0.597692313465914,-0.189277089184667,-0.31918265449822,-0.468770881222918,-0.499279006410192
20,NaN,NaN,0.5,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.67910695839383,-0.445211331958063,-0.741972186052455,-0.539509173446001,-0.60607235567278,-0.432268490969523,-0.59960093517851,0.911013505912566,-0.375874683805168,-0.562621389496966,-0.201146330459872,-0.44058888874787,-0.431344002327484,-0.461852127514758
21,NaN,NaN,0.5,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.653096345519176,-0.489012104647081,-0.752866160320801,-0.487363016799121,-0.621763676407922,-0.316682424535183,-0.620114588559961,1.32993179165363,-0.378523218833711,-0.597851902612491,-0.158369991130951,-0.270507964792282,-0.404084080477103,-0.478293033635337
22,NaN,NaN,0.5,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.595015471513998,-0.330204944888461,-0.721929272293058,-0.547422796221851,-0.60965937160389,-0.308239094753624,-0.60965937160389,1.76753374298849,-0.371695995143154,-0.598676446536471,-0.170342368907146,-0.159359443839728,-0.398543145307955,-0.387560220240536
23,NaN,NaN,0.75,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.694967716658804,-0.297408710312142,-0.741683283351818,-0.37081888654402,-0.510965586623059,-0.328870214411518,-0.495711524029422,0.816137859023354,-0.315522909642086,-0.37081888654402,-0.0790849394407132,-0.0828984550891225,-0.159168768057307,-0.436602031479079
