Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17
11,NaN,NaN,0.25,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.896574488517393,-1.03696216317386,-0.796701377687961,-0.858886522166664,-1.05486394719045,-0.972892620377619,-1.00681179009327,-0.962528429631168,-0.906938679263843,-0.819314157498399,-0.891863492723552,-0.790105983576584,-0.787279386100279,-0.976661417012692,-0.980430213647765,-0.873019509548187,-0.52723241828025
12,NaN,NaN,0.5,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,0.337580782914475,-0.369571092379701,0.657677243786665,0.386575139170422,-0.699466424503081,-0.617809164076502,-0.741928199924902,-0.653738358664197,0.0354489193361316,-0.0739718096354845,0.213461747066074,0.574386838151554,-0.346707059460259,-0.815419734308823,-0.877479252233023,-0.689667553251891,0.365344251459511
13,NaN,NaN,0.5,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.306713991911799,-0.681008085634561,0.0419435200491294,-0.161440028594746,-0.800645467189782,-0.78868172903426,-0.869009685221336,-0.761336041821638,-0.375078209943354,-0.433187795270176,-0.252022617486556,0.0248524655412407,-0.609225656701429,-0.959592274113146,-0.963010485014724,-0.775008885427949,-0.0178751707284811
14,NaN,NaN,0.5,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.296821896726931,-0.579652953295355,-0.0451690668668366,-0.261189637631696,-0.842440864122709,-0.755587232578075,-0.864711026057231,-0.777857394512597,-0.37922149588466,-0.503934402717981,-0.267870686212052,0.0238684351301804,-0.639782390518563,-0.969380787149483,-0.984969900503648,-0.784538443092953,0.0105063379694674
15,NaN,NaN,0.5,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.443715884847035,-0.625386957844088,-0.137991101809923,-0.324953565282618,-0.869966784273778,-0.826459795918497,-0.919353095379773,-0.738857886932863,-0.544252303884239,-0.538960913408597,-0.290853493328479,-0.0345150213973614,-0.356701908136472,-0.935815199081772,-0.959920422359698,-0.80647009856607,-0.120353133557781
16,NaN,NaN,0.5,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.463476941870267,-0.661495798404722,-0.165427941313253,-0.402233996550333,-0.849307497385854,-0.816644593215222,-0.92075760025911,-0.792147415087248,-0.516554161147543,-0.545134202296846,-0.361405366337043,-0.142972194695944,-0.70640729163934,-0.928923326301768,-0.941171915365755,-0.916674737237781,0.00196944256123416
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.556294027888479,-0.796366373542621,-0.292813267578717,-0.444151390235977,-0.901976430360997,-0.843727584590037,-0.891633177373631,-0.766969759789053,-0.541051339275517,-0.570992334765263,-0.332553134319652,-0.104457186861407,-0.691300698460423,-0.957503367451071,-0.972201674327855,-0.783301211874369,-0.00211342046009478
18,NaN,NaN,0.5,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.491096309367492,-0.806677604074919,-0.251168064761161,-0.471642667912925,-0.826131245529486,-0.886653685610363,-0.90610732706493,-0.748316679711217,-0.48461176221597,-0.549457233731195,-0.352759303468347,-0.147415310336802,-0.659694535307076,-0.923399452802323,-0.93204551567102,-0.798031541206222,0.0773823242493102
19,NaN,NaN,0.5,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.608660782865999,-0.90200411078826,-0.386317750873966,-0.544511392683423,-0.936881449139952,-0.854047770554685,-0.892039156973492,-0.763740376608341,-0.59682740021096,-0.573783444514307,-0.426800375746465,-0.215045107182624,-0.664090838460651,-0.935013020299683,-0.944355164501029,-0.829135386017762,0.0459121208416391
20,NaN,NaN,0.5,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.653330072362064,-0.935047620833762,-0.408358291082326,-0.592087127042129,-0.941171915365755,-0.873804675513827,-0.881970401556485,-0.773774531491268,-0.590045695531465,-0.573714243446149,-0.377736818422359,-0.304245284038438,-0.51042986661555,-0.953420504429742,-0.959544798961736,-0.822768887747215,0.065253819391833
