Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15
11,NaN,NaN,0.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.814033993449973,-0.719906025920756,-0.604647290170695,-0.543175964437329,-0.399102544749752,-0.614252184816533,-0.668039594833229,-0.677644489479067,-0.716064068062421,-0.629620016249875,-0.844769656316656,-0.272317935424685,-0.112876684303767,-0.122481578949606,0.0465645668171506
12,NaN,NaN,0.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.706459173416582,-0.537413027649826,-0.68340742626657,-0.925450771341698,-0.952344476350046,-0.764088541291613,-0.79098224629996,-0.871663361325003,-0.917766855625028,-0.741036794141601,-0.921608813483363,-0.798666162016631,-0.641145889824881,-0.817875951308308,-0.618094142674869
13,NaN,NaN,0.5,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.766489764953072,-0.525647031708674,-0.615452796647263,-0.876705931014068,-0.917526733258882,-0.599124475749338,-0.774653925402035,-0.737915203381703,-0.905280492585438,-0.762407684728591,-0.893034251911994,-0.69709440113689,-0.374610063402865,-0.570549914177968,-0.292968458913238
14,NaN,NaN,0.5,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.729401150342071,-0.423361764369527,-0.423361764369527,-0.82643802882117,-0.897349593863588,-0.639828647130595,-0.662221772933464,-0.729401150342071,-0.912278344398834,-0.632364271862972,-0.848831154624039,-0.67715052346871,-0.352450199327109,-0.621167708961537,-0.442022702538585
15,NaN,NaN,0.5,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.768514476744415,-0.515621442677348,-0.489496129240667,-0.836440291679785,-0.848980442129391,-0.539656731039094,-0.633707859411144,-0.68386846120957,-0.920041294677162,-0.742389163307735,-0.835395279142317,-0.628482796723807,-0.249143245623206,-0.678643398522234,-0.145687004413951
16,NaN,NaN,0.5,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.75179427614494,-0.542791768651495,-0.474865953716126,-0.877195780641006,-0.851070467204326,-0.68386846120957,-0.636842897023545,-0.762244401519612,-0.898096031390351,-0.68386846120957,-0.903321094077687,-0.689093523896906,-0.500991267152807,-0.678643398522234,-0.386039888031412
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.768811682144979,-0.545907631721925,-0.391312887073678,-0.747240322426619,-0.786787815243613,-0.555494902707863,-0.629796252848881,-0.682526243271539,-0.891049387215686,-0.683724652144781,-0.850303485525451,-0.586653533412161,-0.291844950594573,-0.533923542989503,-0.152829521298475
18,NaN,NaN,0.5,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.729627343531999,-0.535666683168764,-0.464415828341454,-0.71775220106078,-0.638584584585991,-0.397123354337883,-0.57129211058242,-0.531708302345025,-0.840462006596704,-0.614834299643554,-0.832545244949225,-0.215037836445867,-0.11607831585238,0.0422569170971988,0.228300815812954
19,NaN,NaN,0.5,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.693514730786191,-0.581979738806516,-0.534753210670978,-0.677437614825157,-0.599061674515115,-0.439295334652338,-0.525709832942897,-0.597052035019986,-0.748779816902246,-0.575950820321128,-0.885435302571036,-0.304649488478677,-0.158950625081805,-0.181056659528227,0.128427822721681
20,NaN,NaN,0.5,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.691091341983241,-0.560464774799838,-0.372208839741405,-0.610410226958198,-0.433680165474771,-0.395260586891417,-0.402944502608088,-0.529729111933155,-0.652671763399887,-0.260792061849679,-0.887031192758345,-0.195478778257978,0.0388806511004798,0.154139386850541,0.434602310509023
