Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.770272238767826,-0.580671252165962,-0.741305421370319,-0.620171457708017,-0.630704845852565,-0.56487116994914,-1.04677367756221,-0.786072320984648,-0.72287199211736,-0.483237411828894,-0.678105092503031,-0.67020505139462,-0.80187240320147,-0.9677732664781,-0.514837576262537,-0.973039960550374,-1.17317433529679,0.0618654246514635,-0.583304599202099,-0.535904352551633,-0.385803571491825
18,NaN,NaN,0.5,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,-0.9677732664781,-0.760867427924479,-0.901939590574675,-0.68876387812549,-0.751462617081133,-0.695033752021055,-1.1433297355539,-0.920749212261368,-0.851780599410161,-0.550826652423076,-0.86432034720129,-0.82043122993234,-0.873725158044636,-0.936423897000279,-0.347055750817238,-0.895669716679111,-1.14019479860612,-0.237332957644863,-0.569636274109769,-0.538286904631948,-0.39407980503397
19,NaN,NaN,0.5,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.889031026672043,-0.75994538764572,-0.909684728916255,-0.83997848384204,-0.808997930475723,-0.661840301985714,-0.97164583564889,-0.935501856721519,-0.75994538764572,-0.643768312522029,-0.778017377109405,-0.88386760111099,-0.819324781597829,-0.994881250673628,-0.566316929106235,-0.907103016135728,-1.14203887916364,-0.246184544320954,-0.633441461399923,-0.540499801300971,-0.184223437588319
20,NaN,NaN,0.5,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.861185410253508,-0.757732490976697,-0.86432034720129,-0.729518058446658,-0.716978310655529,-0.707573499812183,-1.02420213153818,-0.952098581739189,-0.851780599410161,-0.676224130334362,-0.792216797402301,-0.836105914671251,-0.983447951217011,-1.00852744679927,-0.484992976519652,-0.804756545193429,-1.14646467250168,0.0260017459688359,-0.557096526318641,-0.532017030736384,-0.30630157049607
21,NaN,NaN,0.5,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.799174828188841,-0.699621464627565,-0.812020423487071,-0.645027684610091,-0.683564470504778,-0.5390515233997,-0.953321971767592,-0.722101256399466,-0.628970690487304,-0.24039143271587,-0.799174828188841,-0.60970229753996,-0.664296077557435,-0.885882596451889,-0.352790391575376,-0.850557209381758,-1.08177792474988,0.0518458603188447,-0.65787327990832,-0.420229766891079,-0.211488843294854
22,NaN,NaN,0.5,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.869022752622963,-0.619403398155811,-0.548083582593767,-0.517909814471364,-0.463048417885177,-0.591972699862717,-0.943085638014316,-0.723640051669566,-0.748327680133351,-0.191484504783549,-0.822390565524704,-0.616660328326501,-0.731869261157495,-0.890967311257438,-0.479506836861033,-0.79495986723161,-1.15155894504183,-0.14485231768529,-0.630375677473048,-0.427388510104155,-0.284748878980068
23,NaN,NaN,0.75,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.386242462664515,-0.122907759050815,-0.0954770607577217,-0.139366178026672,-0.177769155637003,0.480567603397245,-0.720896981840257,-0.731869261157495,-0.649577166278214,-0.254575110857665,-0.567285071398933,-0.550826652423076,-0.611174188667882,-0.748327680133351,-0.282005809150759,-0.781244518085063,-1.04457922169876,2.60918979094131,0.0252180117318905,-0.139366178026672,0.376330949883489
24,NaN,NaN,0.75,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.537322308648015,-0.199291703528507,-0.233474573709131,-0.176503123408091,-0.13852215654073,0.317249445867595,-0.582899468888847,-0.651265209250096,-0.624678532442944,-0.351215570997949,-0.339821280937741,-0.723429046298081,-0.77280430322565,-0.928526267381828,-0.0473678360590652,-0.761410013165442,-1.03487297461044,1.98461389134472,-0.10054118967337,-0.142320253227466,0.290662769060443
25,NaN,NaN,0.75,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.542552474577291,-0.332100559804048,-0.487511204559673,-0.393617273353149,-0.319149672741079,-0.296485620380883,-0.976407191186746,-0.697963119332916,-0.607306909892135,-0.154025862688227,-0.490748926325416,-0.471322595730962,-0.302961063912368,-0.445420821605025,-0.33533828156979,-0.736815780521823,-1.10915378358218,0.830241554097403,-0.225255741534555,-0.0892714273733824,0.114705043868376
26,NaN,NaN,0.75,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.458493886847833,-0.25353999016736,-0.40259736957134,-0.179011300465369,-0.234907817741862,-0.234907817741862,-0.94665680439587,-0.432408845452136,-0.439861714422335,-0.134294086644175,-0.313162941928952,-0.290804335018355,-0.473399624788231,-0.454767452362733,-0.264719293622658,-0.708164997349501,-1.10316705277005,1.00599486579628,-0.361606590235245,-0.126841217673976,-0.0746711348825827
