Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8
18,NaN,NaN,0.5,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.658565254913799,-0.0648257761018096,-0.820494203680706,-0.891434505045255,-0.564492246582549,-0.876012700400788,-0.141934799324146,-0.254513973228757
19,NaN,NaN,0.5,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.645087938681026,-0.198257911938722,-0.838463958657737,-0.907929130882381,-0.57374532936923,-0.883522448749398,-0.194503037764417,-0.278987706686281
20,NaN,NaN,0.5,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.579427046869823,-0.120912444571951,-0.819763697144915,-0.918625581655237,-0.553859318117153,-0.879421730901144,-0.107276322570527,-0.24704657308512
21,NaN,NaN,0.5,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.657023074449353,-0.180489310935314,-0.822036384145152,-0.889892324580808,-0.538275178686955,-0.866759617614108,-0.151187882110826,-0.305405928555499
22,NaN,NaN,0.5,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.565403535038813,-0.263626857791397,-0.868652293638656,-0.895149757982331,-0.586012673972783,-0.877484781753214,-0.10611415308177,-0.0869770955002262
23,NaN,NaN,0.75,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-0.449031630231209,1.506899619348,-0.674027643254699,-0.870899154650254,-0.172900159702379,-0.704708917757903,1.34837970108145,0.456065967613289
24,NaN,NaN,0.75,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.534777062023698,0.413099711245998,-0.740940260209856,-0.876012700400788,-0.335722939637062,-0.816770402071432,0.370445256448862,0.225894048525233
25,NaN,NaN,0.75,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.553734597489091,0.382293716114733,-0.733831184410334,-0.887861160066659,-0.269371565508183,-0.835727937536826,0.396511867713778,0.228263740458407
26,NaN,NaN,0.75,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.413800803994074,0.390605062086234,-0.75813795093076,-0.892443726084489,-0.287353345471681,-0.811717382508046,0.434182999769092,0.450614025452793
27,NaN,NaN,0.75,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.511672565675249,0.417946808382036,-0.670657351737302,-0.86276396822895,-0.365936511785033,-0.765606598968806,0.329621927236451,-0.0170532312599712
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,-0.378294247348823,0.302375509222243,-0.751014915387737,-0.895898711652864,-0.249319260085357,-0.815218323144441,0.393851160981793,0.2876030437207
29,NaN,NaN,0.75,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.501262847540233,0.389346370677751,-0.744156270690593,-0.850566722737417,-0.360153335043358,-0.827434015770716,0.273682835844247,0.10481407498733
30,NaN,NaN,0.75,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.481046873191073,0.189198166922383,-0.77111090315614,-0.875308661493106,-0.374032959223378,-0.838698638293631,0.194830478183841,0.0681034748010441
31,NaN,NaN,0.75,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.382555535474268,0.305216367972539,-0.743060510886907,-0.891353337652389,-0.344203942345264,-0.83254756152125,0.325670550974675,0.116015175202786
32,NaN,NaN,0.75,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.498949576843563,0.215851068427495,-0.746469541387263,-0.848253452040747,-0.320827733199966,-0.813554391590695,0.259803211664226,0.0284761419972175
33,NaN,NaN,0.75,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.361520267727754,0.0911447481433709,-0.816393405627518,-0.856139602143031,-0.392433976128709,-0.829642137799356,0.327413805207811,0.356119391580127
34,NaN,NaN,1,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-0.274318817087968,2.33358951568431,-0.574313501119289,-0.836808849646695,0.093856476950472,-0.61522186712356,2.12222962466225,0.932477980038029
35,NaN,NaN,1,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.388646059477953,0.875189638214975,-0.663530323726164,-0.843626910647407,-0.123240562962438,-0.764637179541599,0.818317031818793,0.625582087920621
36,NaN,NaN,1,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.413922773431811,0.834114978039954,-0.654051555993467,-0.859424856868568,-0.0347720641239331,-0.789913893495457,0.853072513505348,0.628741677164854
37,NaN,NaN,1,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.227344382105122,0.845196772668622,-0.686460578020703,-0.865534944892341,-0.0587477707419313,-0.75789982012375,0.9033006895791,0.925208723824035
38,NaN,NaN,1,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.357840064346688,0.881652434396359,-0.569819779096092,-0.825961934418289,-0.1635253258264,-0.696418775404765,0.763885926202245,0.301652381540349
39,NaN,NaN,1,NaN,NaN,0,0,1,NaN,1,NaN,-0.18000230657812,0.727557368849967,-0.676963197296673,-0.870141592316842,-0.00803565689349935,-0.762567740972277,0.849524904529368,0.707860748181244
40,NaN,NaN,1,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.343960440166667,0.843518517457313,-0.66781833770048,-0.809698940429579,-0.155814423504166,-0.778855331140644,0.68930047101264,0.464142123203418
41,NaN,NaN,1,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.31700580770112,0.576654245783488,-0.703757847654543,-0.84268819210383,-0.174320589077527,-0.793874827837864,0.584163994132098,0.415194656288369
42,NaN,NaN,1,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.185684024078714,0.731345180517029,-0.666357324628899,-0.864081093649542,-0.134548566573375,-0.785673392141356,0.758617424519877,0.479076923490691
43,NaN,NaN,1,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.340876079237774,0.612191447790303,-0.670902698629373,-0.806614579500685,-0.103380287712978,-0.760349165567283,0.670794305439279,0.362358212549934
44,NaN,NaN,1,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,-0.157637000416694,0.445916354078138,-0.76413451761638,-0.817129446303731,-0.198855278284634,-0.781799493845497,0.760941763497392,0.799215878660479
45,NaN,NaN,1.25,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,-0.0996060039447266,3.16027941202062,-0.474599358983878,-0.802718544643136,0.360613113603323,-0.525734816489217,2.89607954824304,1.40888999246277
46,NaN,NaN,1.25,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.242515056932208,1.33727956518395,-0.586120387242473,-0.811241120894025,0.0892418137121854,-0.712503957011765,1.26618880718872,1.02527012731601
47,NaN,NaN,1.25,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.274110949374531,1.28593623996518,-0.574271927576602,-0.830988553670477,0.199827437260316,-0.744099849454089,1.30963315929692,1.0292196138713
48,NaN,NaN,1.25,NaN,NaN,-2.8,-0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.0408879602161695,1.29978848325101,-0.614783205110646,-0.838626163700193,0.169857803987819,-0.704082257739455,1.37241837938911,1.39980342219528
49,NaN,NaN,1.25,NaN,NaN,-1.05,-0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.204007563018127,1.34535806041068,-0.468982206454882,-0.789159900607629,0.0388858601322328,-0.627230951840723,1.19814992516804,0.620357994340669
50,NaN,NaN,1.25,NaN,NaN,0,0,1,NaN,1,NaN,0.0182896341925824,1.15273922847769,-0.602911479205608,-0.844384472980819,0.233247946298359,-0.709917158800113,1.30519864807694,1.12811845264179
51,NaN,NaN,1.25,NaN,NaN,1.05,0.0183249313961028,0.999832084346831,NaN,1,NaN,-0.186658032793101,1.29769066423687,-0.591480404710367,-0.76883115812174,0.0485244880350248,-0.730276646510572,1.10491810618103,0.823470171419505
52,NaN,NaN,1.25,NaN,NaN,2.8,0.0488497697956133,0.998806137341434,NaN,1,NaN,-0.152964742211167,0.964110324644593,-0.636404792152945,-0.810067722714555,0.025391781068324,-0.749051017382098,0.973497510080355,0.762285837775695
53,NaN,NaN,1.25,NaN,NaN,3.64,0.0634872582684061,0.997982649166588,NaN,1,NaN,0.0111874873168408,1.15747399306152,-0.58965413837089,-0.836808849646695,0.0751068091985146,-0.738799222761462,1.19156429806508,0.842138671778597
54,NaN,NaN,1.25,NaN,NaN,6.3,0.109734311091045,0.99396095545518,NaN,1,NaN,-0.182802581631984,1.00853182715311,-0.595335855871484,-0.764975706960624,0.114067157774011,-0.707143939543871,1.08178539921433,0.69624028310265
55,NaN,NaN,1.25,NaN,NaN,18.2,0.312334918512233,0.949972051524652,NaN,1,NaN,0.046246266894365,0.800687960012906,-0.711875629605242,-0.778119290464431,-0.00527658044055981,-0.733956849891638,1.19446972178697,1.24231236574083
56,NaN,NaN,1.5,NaN,NaN,-18.2,-0.312334918512233,0.949972051524652,NaN,1,NaN,0.0751068091985144,3.98696930835694,-0.374885216848467,-0.768628239639576,0.627369750256174,-0.436247765854874,3.66992947182383,1.88530200488751
57,NaN,NaN,1.5,NaN,NaN,-6.3,-0.109734311091045,0.99396095545518,NaN,1,NaN,-0.0963840543864634,1.79936949215293,-0.508710450758781,-0.778855331140644,0.301724190386809,-0.660370734481932,1.71406058255866,1.4249581667114
58,NaN,NaN,1.5,NaN,NaN,-3.64,-0.0634872582684061,0.997982649166588,NaN,1,NaN,-0.134299125317251,1.7377575018904,-0.494492299159735,-0.802552250472386,0.434426938644566,-0.69828580541272,1.76619380508849,1.42969755057775
