Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.925526572566777,-0.62892619640281,-0.373711919238467,-0.423876887722859,-0.430147508783408,-0.833975505082762,-0.693513593326465,-0.935559566263655,-0.633315631145195,0.143614318256823,-0.0187947672113952
18,NaN,NaN,0.5,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.949028860301714,-0.590850985323157,-0.567825264788821,-0.501306516578518,-0.501306516578518,-0.833900257630035,-0.572942091574229,-0.943912033516306,-0.67016180049698,0.0308434691039103,0.143413658382886
19,NaN,NaN,0.5,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.938646172941032,-0.684667756043962,-0.60642501636418,-0.604562093990852,-0.613876705857493,-0.852951743767937,-0.691498471412832,-0.941130069438803,-0.689635549039504,0.191526733544707,0.0455978143006693
20,NaN,NaN,0.5,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.93367837994549,-0.488736920344798,-0.488736920344798,-0.39974862842466,-0.441461890262224,-0.83078566741283,-0.677837040675092,-0.942021032313003,-0.516545761569841,0.175894384933736,0.195360573791266
21,NaN,NaN,0.5,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.950260688972275,-0.393568885930205,-0.668361435516929,-0.457529220747805,-0.455160319458264,-0.741797375492692,-0.594925495541167,-0.90051376189192,-0.628090113594737,0.0115132345812582,0.47581788733124
22,NaN,NaN,0.5,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.964555782960883,-0.192620707576061,-0.492572622582735,-0.470517334714597,-0.417584643831067,-0.774880307294898,-0.677837040675092,-0.909417563290539,-0.713125501264113,0.272745866441646,0.810894890424207
23,NaN,NaN,0.75,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.793378290668175,-0.27963237552036,-0.038233692499097,-0.0753719514254451,0.0855605039220634,-0.502461929078448,-0.490082509436332,-0.77790401611553,-0.251778681325599,0.218639265074811,0.450753383364487
24,NaN,NaN,0.75,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.865396400883458,-0.403844795578078,-0.0952793965256047,-0.186033925658685,-0.266416508605128,-0.722782140817189,-0.481634391977861,-0.886140293256734,-0.543866069097688,0.446654791726218,0.651500728912314
25,NaN,NaN,0.75,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.878361333616756,-0.409030768671397,-0.157511073645431,-0.105651342712243,-0.333834158818273,-0.689073315710616,-0.644992544417406,-0.867989387430118,-0.447925566871288,0.550374253592596,0.680023580925568
26,NaN,NaN,0.75,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.88777136543931,-0.510199066354771,-0.210771853761089,-0.235530693045321,-0.288143226524314,-0.769393165111575,-0.523352199724519,-0.913303918451174,-0.476155662338952,0.54824131304615,0.590795568065924
