Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13
13,NaN,NaN,0.5,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.682221566514004,-0.731872199536149,-0.586466774257011,-0.825262675934945,-0.521448088156584,-0.29092729198234,-0.500169245432807,-0.809894622856662,0.378174095887514,0.228040038891981,0.55195131146502,-0.126607339837624,-0.850087992446018
14,NaN,NaN,0.5,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.71295767267057,-0.776794200841899,-0.60538130112259,-0.818169728360353,-0.467068823418044,-0.196354657654446,-0.475343928921735,-0.807530306998465,0.293058724992409,0.20203256445181,0.275326356055929,-0.292109449911439,-0.850087992446018
15,NaN,NaN,0.5,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.693770340129045,-0.777915735287454,-0.49832022918473,-0.775490795945713,-0.430664421550159,-0.189625450981115,-0.478678220516629,-0.782523120036762,0.286147647868447,-0.0829281199445158,-0.298020239556933,-0.544394076677807,-0.814532319347742
16,NaN,NaN,0.5,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.700700561510968,-0.789300187354996,-0.571285377693849,-0.797264198666818,-0.433906182564907,-0.194985843210226,-0.516532799925068,-0.796268697252841,0.291814348224937,-0.0645751579791294,-0.221864381387628,-0.484676754677777,-0.828124742500131
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.719598901361686,-0.788798389894291,-0.5107702226344,-0.812787545918928,-0.471710955773773,-0.248119719492865,-0.512615542328602,-0.793411689129798,0.425114415608798,-0.159236820888762,-0.528300759729326,-0.608879719709516,-0.830318083013855
18,NaN,NaN,0.5,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.728851129272897,-0.753019691378915,-0.516588105559178,-0.819220535408441,-0.510283263270652,-0.20239679818095,-0.505029228030213,-0.804509236735213,0.337718024536137,-0.186634692459634,-0.392592873884827,-0.602754283502371,-0.821322149504616
19,NaN,NaN,0.5,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.706042435111463,-0.766618370824756,-0.550522991994481,-0.780711547704991,-0.496622771645511,-0.203880290484133,-0.527776110012347,-0.79876070406038,0.292842382364861,-0.182122403370787,-0.380910371997264,-0.580687335492529,-0.821260337325317
20,NaN,NaN,0.5,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.678412390964687,-0.726749515176721,-0.51553729851109,-0.767730990052143,-0.379983189307775,-0.133043533007161,-0.499775192789774,-0.807661657879476,0.332463989295698,-0.138297568247599,-0.439879191048774,-0.59855105531002,-0.812915693119914
21,NaN,NaN,0.5,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.690496672017695,-0.779158516700097,-0.465886665488946,-0.769701253267307,-0.27319492304586,-0.231819395527406,-0.495440613716413,-0.770883411196406,0.345073673872751,-0.124243023979426,-0.457611559985255,-0.597106195618899,-0.803983833211169
22,NaN,NaN,0.5,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.658747287636188,-0.69765717147395,-0.522562694204019,-0.763587807976825,-0.41231802333036,-0.104281442948074,-0.499865261965325,-0.781961919789102,0.336697240546566,-0.0491591075112441,-0.463117038340771,-0.625241554331448,-0.794931881068356
23,NaN,NaN,0.75,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.681202464850988,-0.806429677202408,-0.448358116885068,-0.820126403553344,-0.407267937832259,-0.32508757972664,-0.370091109165432,-0.761426147763616,0.981971449191297,1.20111907080628,1.71768132175588,0.291265106065501,-0.847519856255217
