Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21,Unit_22,Unit_23,Unit_24
11,NaN,NaN,0.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.727063114800795,-0.637321736250924,-0.202973464069545,-0.613390701970958,-0.624757943253942,-0.534418288847071,-0.689970011666848,-0.731251045799789,-0.660056218816891,-0.668432080814879,-0.648688977533907,-0.650483805104905,-0.569118288553021,-0.631338977680932,-0.100070016665692,-0.53501656470407,-0.665440701529883,-0.652278632675902,-0.606809667543967,-0.516470013137096,-0.56971656441002,-0.460232082579177,-0.588861391833993,-0.602023460687974
12,NaN,NaN,0.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.565528633411026,-0.480573461717148,1.63732307205982,-0.445873462011197,-0.429121738015221,-0.683987253096857,-0.736635528512782,-0.716294149374811,-0.588263115976994,-0.589459667690992,-0.620570012254948,-0.652876908532901,-0.347756221463338,-0.508094151139108,0.316329979805713,-0.334594152609356,-0.524845875135084,-0.466214841149168,-0.494932082285127,-0.307073463187396,-0.322628635469374,-0.333397600895358,-0.238870015489493,0.0183886030201387
13,NaN,NaN,0.5,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,-0.6436463667392,-0.566611227818929,1.49407873829831,-0.360690375705129,-0.409578060019916,-0.633276251884548,-0.731051620514123,-0.741421735368775,-0.600684462341357,-0.631794806905312,-0.562166892881221,-0.652535036614616,-0.270322231971734,-0.535500883254974,0.385957893829804,-0.348838815871241,-0.510316318607962,-0.560685447901985,-0.566611227818929,-0.366616155622073,-0.335505811058117,-0.265877897034026,-0.376986270476724,-0.126622068985844
14,NaN,NaN,0.5,NaN,NaN,-4.5,-0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.648090701676908,-0.563977547855843,1.42247556430191,-0.401512415132964,-0.398055710181414,-0.589326717500548,-0.720681505659471,-0.698789040966317,-0.565129782839693,-0.615828122129102,-0.563977547855843,-0.666526461418511,-0.312790321376499,-0.528258263356487,0.440771358061535,-0.334682786069653,-0.540932848178839,-0.513279208566434,-0.501756858727932,-0.365793130633608,-0.399207945165264,-0.341596195972754,-0.304724676489547,-0.219459287684632
15,NaN,NaN,0.5,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.64689414996291,-0.518264840708094,1.0910972146196,-0.469505358362664,-0.389037255596279,-0.630441563895433,-0.7234734596588,-0.727661390657794,-0.60501483997297,-0.613390701970958,-0.622364839825945,-0.620570012254948,-0.306475187330397,-0.527538116491581,0.365986875936642,-0.348952773177336,-0.534119150918571,-0.501513116712118,-0.53471742677557,-0.386943290096782,-0.305278635616398,-0.217332084637524,-0.331303635395861,-0.301389842545904
16,NaN,NaN,0.5,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.649728088232906,-0.512187617529102,1.19560656037646,-0.446692155289196,-0.431955676285217,-0.595694331884983,-0.734872189144784,-0.736509575700782,-0.61206819744496,-0.580957852881004,-0.634991609228927,-0.631716836116932,-0.266579634129454,-0.490901592301133,0.440771358061535,-0.27640395346544,-0.526924096533081,-0.512187617529102,-0.5138250040851,-0.361548054377318,-0.299327365249407,-0.294415205581414,-0.184710306329571,-0.232194516453503
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.666238402672549,-0.534019438275738,1.01242393942422,-0.475255454099378,-0.491674802619243,-0.515439649161153,-0.71722480070792,-0.734508325465673,-0.62346167889711,-0.591919246214211,-0.615684092756121,-0.644201908606414,-0.274766566909442,-0.519328442231648,0.537991184823896,-0.29032173919142,-0.555623844222929,-0.508094151139108,-0.540068671940952,-0.383652772883286,-0.267853157006341,-0.362912543173983,-0.396183328332657,-0.266988980768453
18,NaN,NaN,0.5,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.679201046240864,-0.506797886782277,0.941129399798486,-0.488650185786636,-0.473095013504658,-0.478280070931984,-0.686978632381853,-0.733644149227786,-0.549574610557716,-0.657164552174729,-0.600128920474143,-0.619572885826616,-0.226804785706677,-0.491242714500299,0.580767908599334,-0.295506796618746,-0.566426047196525,-0.535315702632569,-0.530130645205243,-0.348653635248836,-0.377171451099129,-0.22939731442034,-0.390134094667444,-0.348653635248836
19,NaN,NaN,0.5,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.671423460099875,-0.513279208566434,0.759004257663663,-0.4500863211709,-0.505177556336238,-0.44846599072486,-0.701561606396207,-0.730079422246499,-0.575175831605137,-0.619248819737408,-0.604341779633846,-0.569018575910188,-0.305876911473398,-0.529482513026828,0.470261372179451,-0.287405144388549,-0.567722311553357,-0.549574610557716,-0.501936895444159,-0.28870140874538,-0.270229641660532,-0.209305216889452,-0.388837830310612,-0.261155791162712
20,NaN,NaN,0.5,NaN,NaN,4.5,0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.670559283861987,-0.561673077888143,0.793355263119697,-0.445873462011197,-0.457971929341625,-0.511550856090659,-0.653275759104234,-0.741421735368775,-0.527106028372637,-0.635992234346481,-0.558216372936592,-0.616980357112953,-0.269581509482116,-0.546117905606165,0.570397793744683,-0.316247026328049,-0.542661200654614,-0.511550856090659,-0.542661200654614,-0.312790321376499,-0.418219822398792,-0.167608713411373,-0.388837830310612,-0.376739362980185
