Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20
11,NaN,NaN,0.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.462114848828969,-0.779538927693272,-0.904997016006306,-0.700182907977197,-0.78331778577499,-0.760644637284683,-0.882701753324171,-0.862673805491066,-0.853226660286771,-0.770847554105321,-0.319651899148205,-0.69035787696473,-0.737971488794376,-0.651435638723036,-0.781428356734131,-0.754976350162106,-0.711141596414178,-0.183990894014532,-0.615914372754888,-0.774248526378867
12,NaN,NaN,0.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.0164844212285648,-0.568369467435819,-0.889142988690735,-0.277740927696425,-0.544408071872199,-0.528949106992443,-0.800253940632144,-0.749239356528952,-0.862862748395152,-0.522765521040542,0.638975689673048,-0.444697748397779,-0.290108099600229,-0.338803838971457,-0.511944245624713,-0.409142129174342,-0.451654282593668,0.672985412408509,0.325158702614021,-0.537451537676309
13,NaN,NaN,0.5,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.0832268217746375,-0.607420156979896,-0.888370040446748,-0.555666231078107,-0.729411553748397,-0.747895098713322,-0.847706241523914,-0.858057026704272,-0.843270190732332,-0.514263090356676,0.0698169305349371,-0.52313519193984,-0.500954937981931,-0.36417670524149,-0.568974383452853,-0.554187547480913,-0.486907443808588,0.832817666687019,-0.0277761868798641,-0.629600410937805
14,NaN,NaN,0.5,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,0.211277661333159,-0.642508086504977,-0.905374901814478,-0.505052123782489,-0.516388698027643,-0.547564277201815,-0.765084795530701,-0.746662862382327,-0.826727417988725,-0.631880048150146,0.697333282094123,-0.318707184627775,-0.493715549537335,-0.427113175847057,-0.602830076646939,-0.348465692021304,-0.427113175847057,0.352276303507258,-0.0508806180860197,-0.639673942943689
15,NaN,NaN,0.5,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,0.228051164042825,-0.649260867337231,-0.898434142072547,-0.541679091337303,-0.613862992653384,-0.675635754356568,-0.793628669969392,-0.824862088808081,-0.822085784911308,-0.477130025737346,0.475142210855563,-0.379959389350315,-0.471577417943802,-0.429238783518024,-0.573606586150185,-0.440343999105113,-0.43062693546641,0.368948586804021,-0.159243229556915,-0.675635754356568
16,NaN,NaN,0.5,NaN,NaN,-0.75,-0.0130895955713444,0.999914327574007,NaN,1,NaN,0.191605370731275,-0.625294832228328,-0.898706328729094,-0.521931949404868,-0.644633694175944,-0.717987998115173,-0.777338298575095,-0.813348593236172,-0.829353168641095,-0.603288541046559,0.429006572570963,-0.345214762642179,-0.455246218551023,-0.373222769600794,-0.60728968489779,-0.463248506253485,-0.474585080498638,0.248955099265581,-0.123151278898874,-0.638631978399097
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,0.226557391837497,-0.673960918853624,-0.903896218217284,-0.5083483559679,-0.660652766478878,-0.732368920942785,-0.798909682816513,-0.830701380156183,-0.798909682816513,-0.570453067050047,0.279790001336479,-0.400404453372741,-0.537182686113183,-0.454376404670321,-0.623685676549029,-0.47655665862823,-0.532746635321601,0.161495313560963,-0.123890620697471,-0.651780664895714
18,NaN,NaN,0.5,NaN,NaN,0.75,0.0130895955713444,0.999914327574007,NaN,1,NaN,0.244153726644105,-0.682271120669854,-0.901293735086223,-0.516303673720804,-0.678870148396308,-0.699956176492293,-0.777498344329145,-0.823751567249372,-0.829873317341755,-0.663225675937996,0.203342059361552,-0.465969284072322,-0.548953007546847,-0.521745229358478,-0.6856720929434,-0.544191646363882,-0.543511451909173,0.114916780249353,-0.181648002003867,-0.682271120669854
19,NaN,NaN,0.5,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,0.14750943120417,-0.680769024582371,-0.905374901814478,-0.563860602679224,-0.715487283208154,-0.743828718821038,-0.813265236072604,-0.850109102369354,-0.8387725281242,-0.658095876092064,0.168765507913833,-0.43136439118899,-0.529850879943763,-0.47175093693735,-0.669432450337217,-0.555358171995358,-0.55252402843407,0.169474043804155,-0.180542686014965,-0.702733637182356
20,NaN,NaN,0.5,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,0.129389002689975,-0.696974898669525,-0.898862401716198,-0.601458230561422,-0.724472121306707,-0.738944343747328,-0.82650128951309,-0.851827678784178,-0.840973511953711,-0.636191564418914,0.0288070567276536,-0.526202673870189,-0.576131841290334,-0.529097118358314,-0.704211009889836,-0.609417952903764,-0.623890175344386,0.344301505933207,-0.359772115803039,-0.718683232330458
21,NaN,NaN,0.5,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,0.0344039672429552,-0.637461575775948,-0.902598597917706,-0.549313927053427,-0.604840004988874,-0.620109676421121,-0.831802848550011,-0.818615405040343,-0.826250240756467,-0.611086688756611,0.391853093952393,-0.434097315337375,-0.564583598485675,-0.449366986769623,-0.661060158898513,-0.512527900421194,-0.510445672498614,0.451543627732998,-0.226568599053644,-0.655507551104968
22,NaN,NaN,0.5,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.0188547958434606,-0.653702953572066,-0.904619130198135,-0.494990914139915,-0.661260669735502,-0.615914372754888,-0.860028604833863,-0.819972709167654,-0.801078418759064,-0.636320206396164,0.266071103518068,-0.475340852114982,-0.570568075774273,-0.397496375631593,-0.657481811653784,-0.604577798509734,-0.516908291013879,0.537393113785413,-0.326453843695297,-0.643122150943256
23,NaN,NaN,0.75,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,0.427960819064392,-0.399866750246489,-0.881027032128864,0.0360760593626022,-0.363924656901059,-0.340736209581426,-0.747693460040977,-0.67117158388619,-0.841606671685489,-0.331460830653573,1.41115098541681,-0.214359171689429,0.0175253015068961,-0.0555183075499461,-0.31522891752983,-0.161025742854274,-0.224793972983264,1.46216556952,0.94042550482827,-0.353489855607224
24,NaN,NaN,0.75,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,0.327847218245283,-0.458442784562604,-0.879867609762882,-0.380811895709922,-0.641429879715357,-0.669155197162743,-0.818871911378632,-0.834398089149168,-0.812217835191259,-0.318707184627775,0.557412846709645,-0.332015337002521,-0.298744956065657,-0.0935776069549952,-0.40077412427204,-0.378593870314131,-0.277673714805643,1.70191395093777,0.411023170587443,-0.491713165499468
25,NaN,NaN,0.75,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,0.769603942906978,-0.511074678850227,-0.905374901814478,-0.304890734766494,-0.321895596134225,-0.368658964895484,-0.694939742388813,-0.667306842666251,-0.787403676075848,-0.495132621317979,1.49868737404842,-0.0253733260344239,-0.287885873398764,-0.187982312863347,-0.45155766406317,-0.0700110871247165,-0.187982312863347,0.981101906168126,0.37636652377821,-0.506823463508294
