Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21,Unit_22,Unit_23,Unit_24,Unit_25,Unit_26,Unit_27,Unit_28,Unit_29,Unit_30,Unit_31,Unit_32,Unit_33
23,NaN,NaN,0.75,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.655195702057814,-0.58983644370573,-0.670574351081834,-0.493719887305605,-0.0592730523770436,0.440533040903603,-0.412981979929501,0.390552431575538,0.428999054135588,-0.266884814201312,-0.00929244304897901,-0.53601117212166,-0.393758668649476,-0.313020761273372,-0.193836231337218,-0.459117927001561,-0.705176311385879,-0.524477185353645,-0.351467383833422,-0.555234483401685,-0.416826642185506,-0.724399622665904,0.267523239383379,-0.724399622665904,-0.643661715289799,-0.409137317673496,3.01261209017093,1.30173738624872,0.236765941335339,0.83268859101611,0.651989464983876,-0.532166509865655,-0.401447993161486
24,NaN,NaN,0.75,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,-0.531685927083654,-0.602331596037746,-0.587193238404726,-0.476178615762583,-0.0926735557260868,0.0637561398151155,-0.339933397065407,0.0334794245490763,0.639013729869859,-0.264241608900309,-0.23396489363427,-0.45094801970755,-0.385348469964465,-0.284426085744335,-0.127996390203132,-0.531685927083654,-0.733530695523915,-0.329841158643393,-0.390394589175472,-0.597285476826739,-0.531685927083654,-0.738576814734922,0.26055478904437,-0.68306950341385,-0.612423834459759,-0.511501450239628,2.51617007636429,1.4413466844199,0.0788944974481351,0.87113521357616,0.588552537759794,-0.521593688661641,-0.294518324166348
25,NaN,NaN,0.75,NaN,NaN,-4.5,-0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.604166548478112,-0.61884616800104,-0.58214711919372,-0.383972255634191,-0.405991684918583,-0.0977196749370933,-0.567467499670792,-0.207816821359054,0.496804915741494,-0.332593587303942,-0.259195489689302,-0.398651875157119,-0.479389782533223,-0.112399294460021,-0.347273206826871,-0.479389782533223,-0.706923885138608,-0.105059484698557,-0.383972255634191,-0.670224836331288,-0.596826738716648,-0.743622933945928,0.122474617906828,-0.714263694900072,-0.648205407046896,-0.530768450863472,1.93540762898844,1.35556265783279,-0.00964195779952487,0.768377876915663,0.452766057172709,-0.516088831340543,-0.16377796279027
26,NaN,NaN,0.75,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.571236591169922,-0.644337128929368,-0.624698178486532,-0.378120245148699,-0.302837601784494,-0.11408546697279,-0.503591317422375,-0.277743387329759,0.467445676695637,-0.186094951929856,-0.277743387329759,-0.347570766682065,-0.379211297951079,-0.247193908863125,-0.286471809748797,-0.599603964031796,-0.721801877898333,-0.313748129808292,-0.405396565208194,-0.606150280846075,-0.545051323912807,-0.73816766993403,0.171770367250715,-0.704345033060256,-0.641063970522228,-0.523230267865211,1.71342797701336,1.26173211682812,0.0681203510246346,0.625648333040707,0.439078303833763,-0.536322901493769,-0.290836020958316
27,NaN,NaN,0.75,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.606368491406551,-0.622516072881772,-0.654811235832214,-0.420671304441511,-0.368191664647043,-0.117904151781119,-0.666921921938629,-0.283416861902133,0.729843875667977,-0.444892676654342,-0.331859606327796,-0.275343071164523,-0.384339246122264,-0.331859606327796,-0.335896501696601,-0.606368491406551,-0.699217084889071,-0.271306175795718,-0.533704374768057,-0.646737445094603,-0.513519897924031,-0.739586038577123,0.419002932269975,-0.723438457101902,-0.622516072881772,-0.509483002555226,1.8319163113518,1.46455883279053,0.0758668259215312,0.70158560808634,0.390744664688338,-0.549851956243278,-0.323785815590186
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,-0.645584046417802,-0.636521628242933,-0.654646464592671,-0.286382744213909,-0.44209156558211,-0.1249069294617,-0.637345484440648,-0.399251043300912,0.605029661714101,-0.35888208961286,-0.276496469841324,-0.185048431894921,-0.390188625126043,-0.333342547483684,-0.447034702768402,-0.673595157140124,-0.718907248014468,-0.308626861552223,-0.540130453110237,-0.643936334022371,-0.622516072881772,-0.741975221550498,0.179096007495265,-0.713140254630461,-0.629106922463495,-0.482460519270162,1.34402867106477,1.22127409760518,0.0266826109179247,0.41389502384414,0.353753521410919,-0.568965420030274,-0.408313461475781
29,NaN,NaN,0.75,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,-0.476566778778814,-0.638042593531023,-0.600778943972821,-0.234353056650501,-0.513830428337016,0.0885985728539169,-0.544883469635518,-0.377197046623609,0.659974532746348,-0.197089407092299,-0.265406097949002,-0.277827314468403,-0.433092520960912,-0.252984881429602,-0.358565221844508,-0.538672861375817,-0.718780500907127,-0.377197046623609,-0.513830428337016,-0.600778943972821,-0.563515294414619,-0.743622933945928,0.262495604125526,-0.700148676128026,-0.662885026569824,-0.464145562259413,1.36798387435219,1.13198076048357,0.15070465545092,0.585447233629944,0.479866893215038,-0.538672861375817,-0.445513737480312
30,NaN,NaN,0.75,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.508137370765624,-0.614826748369762,-0.596564602653738,-0.248622668485288,-0.472574244897578,-0.146739118701157,-0.641739384161797,-0.375496522933453,0.764445835972021,0.0426104974070881,-0.298603277813353,-0.239972178409277,-0.355312046089426,-0.305331436761362,-0.284185794353334,-0.562923807913695,-0.716710298153894,-0.289952787737342,-0.486991728357597,-0.545622827761672,-0.558117980093689,-0.734972443869917,0.131037729295202,-0.708059808077882,-0.647506377545804,-0.39664216534148,1.3642131479088,1.41227142610886,-0.0140982708689851,0.676018604083907,0.521270948279707,-0.502370377381616,-0.309176099017367
31,NaN,NaN,0.75,NaN,NaN,4.5,0.0784590957278449,0.996917333733128,NaN,1,NaN,-0.553651387178624,-0.643887871893094,-0.643887871893094,-0.130964695621372,-0.487161345810067,-0.202204025659111,-0.681882181246555,-0.477662768471702,0.529186429395011,0.0115139644541068,-0.25444620102012,-0.287691221704398,-0.38267699508805,-0.287691221704398,-0.373178417749685,-0.553651387178624,-0.705628624592468,-0.320936242388676,-0.534654232501894,-0.60114427387045,-0.572648541855355,-0.743622933945928,0.277474129928333,-0.734124356607563,-0.624890717216363,-0.468164191133337,1.47904416323153,1.3793091011787,-0.0264803448993541,0.576679316086837,0.310719150612611,-0.501409211817615,-0.415922015772328
32,NaN,NaN,0.75,NaN,NaN,7,0.121869343405147,0.992546151641322,NaN,1,NaN,-0.624011219314663,-0.662885026569824,-0.594108290656846,-0.0857585034739667,-0.501409211817615,-0.277137246883992,-0.722690883885457,-0.504399504683397,0.569115634132213,-0.058845867681932,-0.136593482192255,-0.130612896460691,-0.417681011575729,-0.271156661152429,-0.429642183038856,-0.624011219314663,-0.707739419556549,-0.133603189326473,-0.624011219314663,-0.597098583522628,-0.588127704925283,-0.710729712422331,0.156455218654346,-0.719700591019675,-0.644943269375134,-0.387778082917913,1.34659177923544,1.07148483558353,-0.0438944033530237,0.452494212366729,0.228222247433106,-0.597098583522628,-0.49243833322027
