Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21,Unit_22
11,NaN,NaN,0.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,0.760936905910568,-0.366000053834403,-0.396875039032895,-0.424241503186104,-0.391261405360442,-0.311968829737041,-0.422136390558934,-0.302144970810248,-0.429153432649501,-0.370911983297799,-0.419329573722708,-0.387051180106102,-0.405295489541575,-0.425644911604217,-0.386349475897045,-0.410207419004971,-0.408804010586858,-0.0621621313128755,-0.316880759200437,-0.333721660217797,-0.380034138015535,-0.404593785332518
12,NaN,NaN,0.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,1.0725835368098,-0.34320366324787,-0.367385469836899,-0.410567267317308,-0.364506683338205,-0.169900716026496,-0.398476364022793,-0.0420825954844854,-0.427839986309471,-0.260294612085485,-0.400779393221749,-0.30520368146511,-0.351264265444213,-0.426688471709994,-0.355294566542385,-0.3955975775241,-0.420930898712606,0.118553691142636,-0.288506719772685,-0.257415825586791,-0.364506683338205,-0.360476382240034
13,NaN,NaN,0.5,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,1.14105197245441,-0.362188093131149,-0.341554196389159,-0.410131559090479,-0.357333058603622,-0.207433867566224,-0.407097162510774,-0.150387211867781,-0.419841628145533,-0.28025938547913,-0.402242127983247,-0.364615610394912,-0.347622989548568,-0.424089783357119,-0.384035748505021,-0.389497662348489,-0.416200352249887,0.152445566786719,-0.292396971797948,-0.255377333525554,-0.359760575867385,-0.370684403554321
14,NaN,NaN,0.5,NaN,NaN,-4.5,-0.0784590957278449,0.996917333733128,NaN,1,NaN,1.49346212291885,-0.349536993544997,-0.339173362149699,-0.409991510017569,-0.359900624940295,-0.105128019805882,-0.399627878622271,-0.0800825772672452,-0.428127864959341,-0.205309789960431,-0.415173325715218,-0.325355186955968,-0.354718809242646,-0.425536957110516,-0.375446072033242,-0.396173334823838,-0.409991510017569,0.109053695696946,-0.29599156466929,-0.265764306433003,-0.34780972164578,-0.359036988990687
15,NaN,NaN,0.5,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,1.48551667218246,-0.351763255103987,-0.341783461908514,-0.411974674050003,-0.361244058639685,-0.168966709740253,-0.406319457905902,-0.0349048211477419,-0.431268940894582,-0.240155901201288,-0.412806323482959,-0.306188866177997,-0.356254162041949,-0.432100590327539,-0.369061563309472,-0.405654138359537,-0.418794199400242,0.171843227885125,-0.278245445230674,-0.280241403869769,-0.361743048299459,-0.379207686391535
16,NaN,NaN,0.5,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,1.65360490328906,-0.364897375791599,-0.319186358744481,-0.417825921846158,-0.362491532789119,-0.177241621598165,-0.401786968496291,-0.0745923201590218,-0.431459032193544,-0.243001330332616,-0.420231764848638,-0.25102080700755,-0.380134381473972,-0.430657084526051,-0.364897375791599,-0.402588916163785,-0.418627869513651,0.141933550064171,-0.267861708024909,-0.272673394029869,-0.352066213111706,-0.363293480456613
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,1.62188039725636,-0.378856702139322,-0.331854413424206,-0.411206455506001,-0.358685679451863,-0.13299857655256,-0.402262700163448,-0.0820001418333244,-0.428332795523655,-0.226241983315341,-0.418247284179925,-0.31187368340361,-0.35107397277735,-0.43004542952542,-0.360017728119903,-0.392557774153445,-0.416154064844434,0.161193886417358,-0.265632565355945,-0.301978464726743,-0.36458475212461,-0.36724884946069
18,NaN,NaN,0.5,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,1.46755304443061,-0.371766231900129,-0.34735912897642,-0.418627869513651,-0.352240549561161,-0.222394762007028,-0.402031039525528,-0.0710707238800294,-0.421556721864496,-0.240944160229047,-0.418627869513651,-0.247778149047685,-0.366884811315387,-0.419604153630599,-0.370789947783181,-0.396173334823838,-0.424485574215341,0.190573419462135,-0.246801864930737,-0.28097180902393,-0.356145686028955,-0.370789947783181
19,NaN,NaN,0.5,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,1.46552845523727,-0.380712835529213,-0.322551909611338,-0.418995976639713,-0.358626407965463,-0.235862681423619,-0.403167370219026,-0.111810579940556,-0.426542172723995,-0.270832858399556,-0.420100298017901,-0.2934714466524,-0.360282890032744,-0.426174065597932,-0.358074247276369,-0.397645763328088,-0.409793298488151,0.186908352859165,-0.248930484398837,-0.2699125905844,-0.356785872335151,-0.372246371629776
20,NaN,NaN,0.5,NaN,NaN,4.5,0.0784590957278449,0.996917333733128,NaN,1,NaN,1.66262681454836,-0.368806870670629,-0.328108026545344,-0.416522756886481,-0.366000053834403,-0.213730240469111,-0.410207419004971,-0.147770044817786,-0.427750024231387,-0.250920563549113,-0.408804010586858,-0.257937605639679,-0.34775574439893,-0.421434686349877,-0.347054040189873,-0.403190376914405,-0.406698897959688,0.244482608044878,-0.244605225667603,-0.269164872984586,-0.353369378071383,-0.379332433806479
21,NaN,NaN,0.5,NaN,NaN,7,0.121869343405147,0.992546151641322,NaN,1,NaN,1.8674164890992,-0.365946076587552,-0.3288097307544,-0.413446053816002,-0.372855164184417,-0.205309789960431,-0.403082422420704,-0.131900734243736,-0.428991500908949,-0.27699157377791,-0.409991510017569,-0.240718863894366,-0.342627905948131,-0.428991500908949,-0.372855164184417,-0.409127874067961,-0.402218786471096,0.318053595502125,-0.233809776297501,-0.300309744417331,-0.35730971709147,-0.371127892285201
22,NaN,NaN,0.5,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,1.9629562160246,-0.290917703465342,-0.352667673862326,-0.407400602168745,-0.34144040651742,-0.182855255270618,-0.403190376914405,-0.163207537417032,-0.417224461095538,-0.300741562392135,-0.397576743241952,-0.33301995600874,-0.369508574879686,-0.410207419004971,-0.331616547590627,-0.379332433806479,-0.376525616970252,0.316758141577712,-0.192679114197411,-0.22636091623213,-0.318985871827607,-0.368105166461572
23,NaN,NaN,0.75,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,1.82941650731644,-0.294264292770073,-0.330537002653617,-0.39530969887423,-0.326218822905576,-0.0343098719380119,-0.377173343932458,0.157417308875004,-0.421218777362475,-0.169900716026496,-0.380627887730891,-0.237264320095934,-0.306355196064588,-0.419491505463259,-0.312400647711845,-0.372855164184417,-0.410855145967177,0.398371738815685,-0.212218877557296,-0.165582536278455,-0.326218822905576,-0.320173371258319
24,NaN,NaN,0.75,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,1.93211916078335,-0.322740937594992,-0.291790092482007,-0.394656136533986,-0.315458385803701,-0.0906095992476044,-0.390104541664429,-0.00503961569994004,-0.409221240116567,-0.199847876116963,-0.382821989873139,-0.326382213490637,-0.30089328222112,-0.415593472933946,-0.355512420655799,-0.363705291421001,-0.403759326273099,0.44920955228181,-0.218054255595189,-0.162524798186599,-0.319099661699346,-0.33548540322975
25,NaN,NaN,0.75,NaN,NaN,-4.5,-0.0784590957278449,0.996917333733128,NaN,1,NaN,2.46073438648001,-0.303764288215763,-0.288218841122816,-0.394446062924622,-0.31930973530871,0.0628491723929082,-0.378900615831675,0.100417336200864,-0.421650595337279,-0.0874234828389147,-0.402218786471096,-0.26749157833222,-0.311537011762237,-0.417764233564043,-0.342627905948131,-0.373718800134026,-0.394446062924622,0.38412174564715,-0.223446144902203,-0.178105257547773,-0.301173380366939,-0.318014281384298
26,NaN,NaN,0.75,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,2.44881621037542,-0.307103680554248,-0.29213399076104,-0.397420808973272,-0.321324885857796,-0.0329088625086474,-0.388937984757121,0.168183970380119,-0.426362209240142,-0.139692649700201,-0.398668283122706,-0.238742097165263,-0.313840040961192,-0.427609683389576,-0.333051142862476,-0.387940005437574,-0.407650096998631,0.47830604392942,-0.19682696574428,-0.199820903702921,-0.322073370347457,-0.348270327485571
27,NaN,NaN,0.75,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,2.70094855703532,-0.326804861585667,-0.258238336014989,-0.406197680667505,-0.323196097081947,-0.0453212302955161,-0.382139250642705,0.108652721863199,-0.426647346188584,-0.143960793397193,-0.409806445171225,-0.155990008409593,-0.349660370109226,-0.425444424687344,-0.326804861585667,-0.383342172143945,-0.407400602168745,0.433441527197989,-0.181251359935632,-0.188468888943072,-0.307558117565828,-0.324399018583187
28,NaN,NaN,0.75,NaN,NaN,0,0,1,NaN,1,NaN,2.65336179798626,-0.347743851107251,-0.277240418034576,-0.39626848115727,-0.317487317076063,0.021043337272892,-0.382852848143441,0.0975409893517451,-0.42195799118375,-0.11882177287128,-0.406829724168156,-0.247269323003683,-0.306069757064294,-0.424526942186398,-0.319485390078122,-0.368295459128435,-0.40368989516492,0.462332031727769,-0.177907645932185,-0.232426494988383,-0.326335926085184,-0.330332072089303
29,NaN,NaN,0.75,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,2.42187076874765,-0.337108145748462,-0.300497491362898,-0.407400602168745,-0.30781962224001,-0.11305094090881,-0.382505357186561,0.113935116281688,-0.411793880695012,-0.140875038241838,-0.407400602168745,-0.151126021469796,-0.329786014871349,-0.408865028344167,-0.335643719573039,-0.373718800134026,-0.41618715922128,0.506401331294934,-0.149661595294374,-0.200916511434163,-0.313677326941701,-0.335643719573039
30,NaN,NaN,0.75,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,2.41883388495763,-0.350528051192088,-0.263286662315275,-0.407952762857838,-0.317398409846463,-0.133252820033696,-0.384209853226807,0.0528253321908985,-0.41927205698426,-0.185708085497603,-0.40960924492512,-0.219665967876869,-0.319883132947385,-0.418719896295167,-0.316570168812822,-0.375927442890401,-0.394148745630495,0.500903731390479,-0.152854524496524,-0.184327683774868,-0.314637606400994,-0.337828355342932
31,NaN,NaN,0.75,NaN,NaN,4.5,0.0784590957278449,0.996917333733128,NaN,1,NaN,2.71448142392427,-0.332669103904212,-0.271620837716284,-0.40424293322799,-0.328458878649872,-0.100054158601934,-0.394769926405725,-0.00111386512494747,-0.421083834245349,-0.155839643221938,-0.392664813778555,-0.166365206357787,-0.301092414496663,-0.411610827423084,-0.300039858183078,-0.384244363269875,-0.3895071448378,0.587265114169049,-0.146366636399673,-0.183206107375147,-0.309512865005343,-0.348457448607986
32,NaN,NaN,0.75,NaN,NaN,7,0.121869343405147,0.992546151641322,NaN,1,NaN,3.02166593575053,-0.328377912779596,-0.272673394029869,-0.399627878622271,-0.338741544174894,-0.0874234828389147,-0.384082431529324,0.0226901007361279,-0.422946049261692,-0.194946158565133,-0.394446062924622,-0.140537093739818,-0.293400656820465,-0.422946049261692,-0.338741544174894,-0.39315060900021,-0.382786977604912,0.697621595354919,-0.13017346234452,-0.229923414524264,-0.315423373535474,-0.33615063632607
33,NaN,NaN,0.75,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,3.16497552613863,-0.215835353096281,-0.308460308691758,-0.390559701151385,-0.291619407674398,-0.0537416808041958,-0.384244363269875,-0.0242701040238167,-0.405295489541575,-0.23057114148647,-0.375823912761196,-0.278988731911379,-0.333721660217797,-0.394769926405725,-0.276883619284209,-0.348457448607986,-0.344247223353647,0.6956784144683,-0.0684774691943853,-0.119000172246464,-0.257937605639679,-0.331616547590627
34,NaN,NaN,1,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,2.58624947782307,-0.245324922292277,-0.293688535470335,-0.380052130431152,-0.287930962472947,0.101280972150472,-0.355870323842123,0.356917213234493,-0.414597568415479,-0.0795068199675064,-0.360476382240034,-0.169324958726757,-0.261446126684963,-0.412294539216524,-0.269506728881306,-0.350112750844735,-0.400779393221749,0.678189786488735,-0.135931035341907,-0.0737492469701186,-0.287930962472947,-0.279870360276604
35,NaN,NaN,1,NaN,NaN,-7,-0.121869343405147,0.992546151641322,NaN,1,NaN,2.72318634911229,-0.283293782058834,-0.242025988574854,-0.379180713977494,-0.27358371300378,0.0262146690710153,-0.373111920818085,0.140307980467901,-0.398600852087602,-0.119436366754796,-0.363401851763031,-0.288148816586361,-0.254163574893672,-0.407097162510774,-0.326989092806578,-0.337912920493514,-0.391318300296311,0.745973537776901,-0.143711539392432,-0.069672262847644,-0.278438747531307,-0.300286402905179
36,NaN,NaN,1,NaN,NaN,-4.5,-0.0784590957278449,0.996917333733128,NaN,1,NaN,3.42800665004117,-0.25799158288653,-0.237264320095934,-0.378900615831675,-0.278718845677126,0.230826364591699,-0.358173353041078,0.280917249668973,-0.415173325715218,0.0304628242826015,-0.389264247226973,-0.209627969708472,-0.268355214281828,-0.409991510017569,-0.309809739863021,-0.351264265444213,-0.378900615831675,0.659189795597355,-0.150900725135116,-0.0904462086625434,-0.254537039088097,-0.27699157377791
37,NaN,NaN,1,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,3.41211574856838,-0.26244410600451,-0.242484519613565,-0.382866943896542,-0.281405713075907,0.103148984722958,-0.37155651160834,0.37127276190798,-0.421455477585701,-0.0392293981991132,-0.384530242762454,-0.17129532815253,-0.271425919880435,-0.423118776451613,-0.29704072241548,-0.37022587251561,-0.396505994597021,0.784768859973714,-0.115408486257885,-0.119400403536074,-0.282403692395454,-0.317332968579607
38,NaN,NaN,1,NaN,NaN,-1.5,-0.0261769483078732,0.999657324975557,NaN,1,NaN,3.74829221078158,-0.288712347379735,-0.197290313285498,-0.394569439488852,-0.283900661374775,0.0865991610071331,-0.362491532789119,0.29189776388542,-0.421835660183624,-0.0449202564617694,-0.399381125493811,-0.0609592098116356,-0.319186358744481,-0.420231764848638,-0.288712347379735,-0.364095428124106,-0.396173334823838,0.724949504331806,-0.0946410118463545,-0.104264383856274,-0.263050022019949,-0.285504556709762
39,NaN,NaN,1,NaN,NaN,0,0,1,NaN,1,NaN,3.68484319871617,-0.31663100007518,-0.222626422644948,-0.381330506808538,-0.276288954700262,0.175085251098344,-0.363442996123433,0.277082120536815,-0.415583186843846,-0.0114015624272186,-0.395412164156387,-0.182664962603756,-0.261065541351237,-0.419008454847377,-0.278953052036342,-0.344033144103426,-0.391225725485405,0.76347017703818,-0.0901827265084256,-0.162874525250022,-0.288087100045757,-0.293415294717916
40,NaN,NaN,1,NaN,NaN,1.5,0.0261769483078732,0.999657324975557,NaN,1,NaN,3.37618849306468,-0.302450059596794,-0.253635853749376,-0.396173334823838,-0.263398694918859,-0.00370711981059156,-0.362979674847594,0.298940956443405,-0.402031039525528,-0.0408059162546298,-0.396173334823838,-0.0544738938919071,-0.292687218427311,-0.398125903057735,-0.300497491362898,-0.351264265444213,-0.407888744227219,0.822229243127733,-0.0525213256580103,-0.120861213844397,-0.271208967854446,-0.300497491362898
41,NaN,NaN,1,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,3.37213931467799,-0.320343266854963,-0.204021415019212,-0.396909549075963,-0.276170411727463,-0.0306429586437738,-0.365252336234588,0.217461244322353,-0.412001941244526,-0.100583312595649,-0.399118191832338,-0.145860489101337,-0.279483375862025,-0.411265726992401,-0.275066090349275,-0.354209122452713,-0.378504192772838,0.814899109921793,-0.0567785645942114,-0.0987427769653367,-0.272489340466838,-0.303410339056088
42,NaN,NaN,1,NaN,NaN,4.5,0.0784590957278449,0.996917333733128,NaN,1,NaN,3.76633603330018,-0.296531337137795,-0.215133648887224,-0.391963109569498,-0.290917703465342,0.0136219232652421,-0.379332433806479,0.145542314567891,-0.414417644259311,-0.0607587228947622,-0.376525616970252,-0.0747928070758951,-0.254429084594396,-0.401786968496291,-0.253025676176283,-0.365298349625346,-0.372315391715912,0.93004762029322,-0.0481280471317426,-0.0972473417657078,-0.265656351939302,-0.317582463409494
