Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18
11,NaN,NaN,0.25,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.722605168263886,-0.647303211905256,-0.812656992362866,-0.876314316294903,-0.762973227342739,-0.853801360270158,-0.551040917178761,-0.826630551274776,-0.853801360270158,-0.825854242446337,-0.748999668430828,-0.395002842662425,-0.490488828560481,-0.46254171073666,-0.455554931280704,-0.587527432115416,-0.698539594582262,-0.628671800022709
12,NaN,NaN,0.5,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.370434951503576,-0.33572938034981,-0.448522486599547,-0.90143019015618,-0.844165997752468,-0.844165997752468,-0.611638671022242,-0.903165468713869,-0.830283769290962,-0.830283769290962,-0.776490134002626,0.455557641956032,-0.323582430445993,-0.708814270252784,-0.602962278233801,-0.616844506695307,-0.748725677079614,-0.736578727175797
13,NaN,NaN,0.5,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.407867388962279,-0.36993915762995,-0.312344435977155,-0.892505900430926,-0.841934925321155,-0.863006164950226,-0.562389812908804,-0.881267905962088,-0.853172919789993,-0.868625162184645,-0.761864214730682,0.90697796389179,-0.414891135505303,-0.355891664543903,-0.459843113380656,-0.546937570514152,-0.650889019350905,-0.645270022116486
14,NaN,NaN,0.5,NaN,NaN,-4,-0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.354216771137489,-0.474484923481883,-0.476754133903475,-0.868192931628151,-0.768347673078089,-0.789905172083216,-0.220333356263542,-0.880673588946909,-0.78877056687242,-0.80352043461277,-0.713886622959873,0.741811862491605,-0.255506117798223,-0.362159007613062,-0.215794935420357,-0.312236378338031,-0.459735055741532,-0.531215184021691
15,NaN,NaN,0.5,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.413634254544973,-0.489712519732042,-0.469528490192615,-0.874761698638024,-0.724157785920765,-0.767631080313376,-0.245951547602045,-0.874761698638024,-0.725710403577644,-0.834393639559171,-0.665158314959364,0.727539723261064,-0.076716223002238,-0.263030341827713,-0.221109665091981,-0.396555460319304,-0.368608342495483,-0.475738960820131
16,NaN,NaN,0.5,NaN,NaN,-1,-0.0174524064372835,0.999847695156391,NaN,1,NaN,-0.294082694965293,-0.521230658166685,-0.618579785252995,-0.872277510387018,-0.594979996868435,-0.774928383300707,-0.226233303359682,-0.857527642646668,-0.854577669098598,-0.825077933617897,-0.712978938791236,0.844607094589738,-0.302932615609503,-0.347182218830553,-0.240983171100032,-0.370782007215113,-0.544830446551245,-0.521230658166685
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.458174973576688,-0.533768045745982,-0.386269368342481,-0.85089020216351,-0.692329123954746,-0.812171799345091,-0.0875845466003907,-0.839827801358247,-0.756859795318778,-0.75317232838369,-0.697860324357377,0.834282187171493,-0.360457099796868,-0.14105281715916,-0.102334414340741,-0.255364292146873,-0.391800568745112,-0.478456041719669
18,NaN,NaN,0.5,NaN,NaN,1,0.0174524064372835,0.999847695156391,NaN,1,NaN,-0.336225174223436,-0.574330182031945,-0.618579785252995,-0.848256297209876,-0.688114876028932,-0.774506958508125,-0.142369769635977,-0.875648908727669,-0.835613553432433,-0.761864214730682,-0.732364479249982,0.742622294785031,-0.28143995118785,-0.201369240597377,-0.18451224889412,-0.3256895544089,-0.48161672766403,-0.578544429957759
19,NaN,NaN,0.5,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.430518971563531,-0.478456041719669,-0.613048584850364,-0.830609134020529,-0.699704057824921,-0.804796865474916,-0.165021352237229,-0.849046468695966,-0.799265665072285,-0.742109927578428,-0.740266194110884,0.627784038806591,-0.183458686912667,0.000914659841710111,-0.159490151834598,-0.295926428432836,-0.408394169953006,-0.555892847356507
20,NaN,NaN,0.5,NaN,NaN,4,0.0697564737441253,0.997564050259824,NaN,1,NaN,-0.358982113022833,-0.476981054945634,-0.626839711187592,-0.852217690260142,-0.644539552476012,-0.783778303944917,-0.205583488523192,-0.85339767967937,-0.788498261621829,-0.756638547302673,-0.694099108083588,0.608609210744136,-0.172543784784807,-0.115904292661863,-0.104104398469583,-0.279922821934556,-0.375501964892025,-0.465181160753354
