Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13,Unit_14,Unit_15,Unit_16,Unit_17,Unit_18,Unit_19,Unit_20,Unit_21,Unit_22,Unit_23,Unit_24,Unit_25,Unit_26,Unit_27
13,NaN,NaN,0.5,NaN,NaN,-9,-0.156434465040231,0.987688340595138,NaN,1,NaN,-0.69178357583872,-0.573361282657683,-0.434720549177445,-0.0390167890359335,-0.518482658988422,-0.660011741082832,0.0591870638459015,-0.668676786925347,0.0967355958301326,-0.212317705886231,-0.717778713366264,-0.521371007602594,-0.740885502279637,-0.501152567303393,-0.732220456437122,-0.706225318909578,-0.616686511870257,-0.573361282657683,-0.501152567303393,-0.553142842358482,0.677293667278628,0.827487795215552,-0.379841925508185,-0.556031190972653,-0.252754586484633,-0.382730274122356,-0.634016603555287
14,NaN,NaN,0.5,NaN,NaN,-3.6,-0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.709113667523749,-0.521371007602594,-0.327851650453096,-0.125667247461082,-0.619574860484429,-0.492487521460878,0.0303035777041853,-0.688895227224548,-0.0621235779493065,-0.270084678169663,-0.737997153665466,-0.590691374342713,-0.74666219950798,-0.498264218689221,-0.712002016137921,-0.668676786925347,-0.605133117413571,-0.532924402059281,-0.573361282657683,-0.610909814641914,0.509769447656674,0.818822749373037,-0.446273943634132,-0.521371007602594,-0.261419632327148,-0.284526421240521,-0.654235043854488
15,NaN,NaN,0.5,NaN,NaN,-1.8,-0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.69015103096984,-0.503664174793977,-0.328479552325741,-0.0911326444655519,-0.523443083782326,-0.421722980413673,-0.00354033323143431,-0.684499914116026,-0.170248280418948,-0.255015033226159,-0.71840661523891,-0.568652018612838,-0.741011082654166,-0.548873109624489,-0.721232173665817,-0.692976589396747,-0.548873109624489,-0.551698668051396,-0.472583032098,-0.523443083782326,0.606780286980482,0.304445535301431,-0.390641837717696,-0.435850772548208,-0.274793942214508,-0.373688487156254,-0.644942096139328
16,NaN,NaN,0.5,NaN,NaN,-0.45,-0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.711460450772764,-0.448801248671532,-0.310702080556452,0.000698004408926204,-0.448801248671532,-0.424430807239459,-0.0399193979778622,-0.703336970295406,-0.215928141653945,-0.307994253730666,-0.719583931250121,-0.551698668051396,-0.741246545856409,-0.508373438838822,-0.716876104424335,-0.687090009340691,-0.605855204567114,-0.611270858218686,-0.56252997535454,-0.584192589960827,0.658699923074898,0.937606086130845,-0.446093421845746,-0.532743880270895,-0.283623812298593,-0.44338559501996,-0.676258702037547
17,NaN,NaN,0.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.693969353168363,-0.53237795772687,-0.360247993017453,-0.0230137764439016,-0.4410436907382,-0.325119428791041,-0.103809474164648,-0.697482209591004,-0.177579459040113,-0.247836587492936,-0.708020778858928,-0.560480809107999,-0.739636486662698,-0.553455096262717,-0.732610773817416,-0.711533635281569,-0.62371222471554,-0.500762249923099,-0.578045091221205,-0.609660799024975,0.581197528250378,0.567146102559813,-0.469146542119329,-0.525352244881587,-0.398889413666506,-0.349709423749529,-0.637763650406104
18,NaN,NaN,0.5,NaN,NaN,0.45,0.00785390088871133,0.99996915764479,NaN,1,NaN,-0.62199164197792,-0.576898036062791,-0.237369709172413,-0.163097887665143,-0.417744132832927,-0.473447998963379,0.104811182771796,-0.680348073162203,-0.0198593747582646,-0.391218482294616,-0.730746809184994,-0.62199164197792,-0.738704504346487,-0.545067255416818,-0.709526288754345,-0.722789114023501,-0.635254467247075,-0.59811855649344,-0.555677515632143,-0.62199164197792,0.50800107095412,1.09156538279696,-0.404481307563771,-0.507931344663183,-0.340819746271825,-0.446922348425068,-0.677695508108372
19,NaN,NaN,0.5,NaN,NaN,1.8,0.0314107590781283,0.999506560365732,NaN,1,NaN,-0.695276462534927,-0.619709202280437,-0.438347777669661,-0.160260259933138,-0.526005799564869,-0.417188944798404,-0.0453980243463128,-0.680163010484029,-0.0302845722954147,-0.299304018801399,-0.710389914585825,-0.634822654331335,-0.728526057046903,-0.571346155717564,-0.719457985816364,-0.704344533765466,-0.607618440639719,-0.622731892690617,-0.553210013256486,-0.604595750229539,0.305234063234521,1.03672514249798,-0.456483920130739,-0.625754583100796,-0.311394780442118,-0.253963662648705,-0.637845344741515
20,NaN,NaN,0.5,NaN,NaN,3.6,0.0627905195293134,0.998026728428272,NaN,1,NaN,-0.674711372422812,-0.560982645739805,-0.226759448957089,-0.0248329342341979,-0.382266075237936,-0.489031818654637,0.0447968984288679,-0.695600322221732,-0.0944627668972637,-0.319599225841177,-0.709526288754345,-0.588834578805031,-0.732736232975367,-0.528488723830374,-0.702563305488039,-0.697921316643834,-0.663106400312301,-0.547056679207192,-0.516883751719863,-0.621328500714462,0.31171125697062,0.878033895963556,-0.505278779609352,-0.558661651317703,-0.310315248152768,-0.296389281620155,-0.630612478402871
21,NaN,NaN,0.5,NaN,NaN,9,0.156434465040231,0.987688340595138,NaN,1,NaN,-0.700242311065936,-0.585739919575562,-0.279368655858072,-0.00703864366474775,-0.486710824232535,-0.359829795824281,0.308616597741151,-0.703336970295406,0.438592285378873,-0.384587069660038,-0.706431629524876,-0.653822422623893,-0.74666219950798,-0.629065148788136,-0.731188903360632,-0.728094244131163,-0.638349126476545,-0.613591852640788,-0.579550601116622,-0.526941394215639,0.184830228562367,0.850181962898329,-0.325788544300116,-0.486710824232535,-0.260800700481254,-0.431006958102082,-0.533130712674579
22,NaN,NaN,0.5,NaN,NaN,18,0.309016994374947,0.951056516295154,NaN,1,NaN,-0.608887970611994,-0.512705961760079,-0.333339512820022,-0.0421939725115224,-0.429521521671937,-0.515305475512834,0.363330172918173,-0.588091860589958,0.763655290842359,-0.439919576682954,-0.6998709519584,-0.673875814430856,-0.741463172002471,-0.655679218161574,-0.738863658249717,-0.715468034474927,-0.562096723062414,-0.58289283308445,-0.476312769221517,-0.458116172952236,0.18656323773087,0.943021739782417,-0.140975495116192,-0.478912282974271,-0.140975495116192,-0.499708392996307,-0.458116172952236
